date,value
Feb-77,20203
Mar-77,31001
Apr-77,34425
May-77,23954
Jun-77,33759
Jul-77,40402
Aug-77,37683
Sep-77,39384
Oct-77,32899
Nov-77,21080
Dec-77,25045
Jan-78,15075
Feb-78,19460
Mar-78,36439
Apr-78,29359
May-78,26499
Jun-78,33706
Jul-78,43436
Aug-78,40048
Sep-78,46991
Oct-78,29165
Nov-78,22595
Dec-78,25485
Jan-79,14830
Feb-79,19396
Mar-79,35120
Apr-79,29043
May-79,28312
Jun-79,39201
Jul-79,36985
Aug-79,40335
Sep-79,47661
Oct-79,30450
Nov-79,22806
Dec-79,24714
Jan-80,14280
Feb-80,19304
Mar-80,34127
Apr-80,30718
May-80,35371
Jun-80,35275
Jul-80,37365
Aug-80,47306
Sep-80,40292
Oct-80,30896
Nov-80,24777
Dec-80,20311
Jan-81,15744
Feb-81,21118
Mar-81,26846
Apr-81,31373
May-81,34292
Jun-81,32738
Jul-81,36526
Aug-81,43247
Sep-81,39985
Oct-81,31333
Nov-81,19436
Dec-81,19335
Jan-82,13133
Feb-82,16825
Mar-82,24978
Apr-82,31519
May-82,31006
Jun-82,33974
Jul-82,41743
Aug-82,39066
Sep-82,41052
Oct-82,30904
Nov-82,18801
Dec-82,19165
Jan-83,12620
Feb-83,16434
Mar-83,25650
Apr-83,32701
May-83,29429
Jun-83,34573
Jul-83,42329
Aug-83,39521
Sep-83,42320
Oct-83,30797
Nov-83,18668
Dec-83,19292
Jan-84,11718
Feb-84,16163
Mar-84,26526
Apr-84,29383
May-84,30897
Jun-84,41788
Jul-84,38885
Aug-84,42522
Sep-84,47612
Oct-84,25992
Nov-84,18296
Dec-84,19404
Jan-85,10923
Feb-85,14878
Mar-85,25325
Apr-85,27431
May-85,31021
Jun-85,42283
Jul-85,38475
Aug-85,51407
Sep-85,41153
Oct-85,26426
Nov-85,20611
Dec-85,16456
Jan-86,10634
Feb-86,14915
Mar-86,25299
Apr-86,24819
May-86,35934
Jun-86,37306
Jul-86,39375
Aug-86,51179
Sep-86,42296
Oct-86,28581
Nov-86,20624
Dec-86,16962
Jan-87,12038
Feb-87,17101
Mar-87,19707
Apr-87,27039
May-87,36780
Jun-87,37973
Jul-87,41165
Aug-87,50278
Sep-87,44303
Oct-87,31550
Nov-87,17373
Dec-87,16454
Jan-88,10998
Feb-88,14278
Mar-88,21039
Apr-88,30115
May-88,31213
Jun-88,37982
Jul-88,46236
Aug-88,43510
Sep-88,45552
Oct-88,32168
Nov-88,17688
Dec-88,17713
Jan-89,10573
Feb-89,14675
Mar-89,23060
Apr-89,28425
May-89,31795
Jun-89,37918
Jul-89,44695
Aug-89,42404
Sep-89,51493
Oct-89,27538
Nov-89,17449
Dec-89,16672
Jan-90,9796
Feb-90,14842
Mar-90,22442
Apr-90,26422
May-90,32588
Jun-90,42187
Jul-90,37605
Aug-90,42010
Sep-90,47695
Oct-90,24295
Nov-90,15547
Dec-90,15721
Jan-91,8628
Feb-91,12807
Mar-91,20053
Apr-91,21345
May-91,30143
Jun-91,38050
Jul-91,34655
Aug-91,47685
Sep-91,39168
Oct-91,23791
Nov-91,16689
Dec-91,13742
Jan-92,8473
Feb-92,15853
Mar-92,15739
Apr-92,22687
May-92,33856
Jun-92,32496
Jul-92,37839
Aug-92,49083
Sep-92,41558
Oct-92,26241
Nov-92,13896
Dec-92,13843
Jan-93,9245
Feb-93,11850
Mar-93,15411
Apr-93,22327
May-93,32769
Jun-93,33125
Jul-93,41855
Aug-93,40151
Sep-93,39547
Oct-93,25248
Nov-93,13459
Dec-93,14210
Jan-94,8507
Feb-94,12013
Mar-94,16256
Apr-94,23323
May-94,28410
Jun-94,32117
Jul-94,39809
Aug-94,39228
Sep-94,39348
Oct-94,24126
Nov-94,13399
Dec-94,14533
Jan-95,8032
Feb-95,11241
Mar-95,14738
Apr-95,22627
May-95,26550
Jun-95,32235
Jul-95,39599
Aug-95,38757
Sep-95,41412
Oct-95,20098
Nov-95,12741
Dec-95,14982
Jan-96,7853
Feb-96,12246
Mar-96,16378
Apr-96,19082
May-96,27181
Jun-96,34425
Jul-96,33604
Aug-96,46161
Sep-96,34253
Oct-96,20312
Nov-96,14186
Dec-96,13294
Jan-97,7575
Feb-97,11513
Mar-97,15860
Apr-97,17045
May-97,29587
Jun-97,30077
Jul-97,33836
Aug-97,45514
Sep-97,33879
Oct-97,20967
Nov-97,14146
Dec-97,12537
Jan-98,7720
Feb-98,12756
Mar-98,12930
Apr-98,18705
May-98,29025
Jun-98,27285
Jul-98,33041
Aug-98,43365
Sep-98,33807
Oct-98,23142
Nov-98,12671
Dec-98,12856
Jan-99,7872
Feb-99,10788
Mar-99,13801
Apr-99,17574
May-99,28018
Jun-99,27560
Jul-99,37010
Aug-99,37657
Sep-99,34822
Oct-99,23407
Nov-99,13041
Dec-99,11965
Jan-00,7101
Feb-00,11452
Mar-00,12939
Apr-00,20221
May-00,24617
Jun-00,29356
Jul-00,37740
Aug-00,39194
Sep-00,39761
Oct-00,19476
Nov-00,12652
Dec-00,13452
Jan-01,6196
Feb-01,9720
Mar-01,12920
Apr-01,16572
May-01,23413
Jun-01,30891
Jul-01,31248
Aug-01,38580
Sep-01,35503
Oct-01,17915
Nov-01,12356
Dec-01,13913
Jan-02,6788
Feb-02,10850
Mar-02,14255
Apr-02,15105
May-02,24385
Jun-02,31634
Jul-02,31097
Aug-02,43957
Sep-02,30617
Oct-02,18806
Nov-02,14283
Dec-02,13819
Jan-03,7998
Feb-03,11861
Mar-03,14166
Apr-03,18066
May-03,28994
Jun-03,28092
Jul-03,32860
Aug-03,46086
Sep-03,32923
Oct-03,20432
Nov-03,14685
Dec-03,13946
Jan-04,8977
Feb-04,13256
Mar-04,12789
Apr-04,19086
May-04,27518
Jun-04,28376
Jul-04,39738
Aug-04,40138
Sep-04,33295
Oct-04,22947
Nov-04,12566
Dec-04,14383
Jan-05,7820
Feb-05,10671
Mar-05,11904
Apr-05,17140
May-05,23985
Jun-05,27053
Jul-05,36398
Aug-05,37231
Sep-05,31648
Oct-05,19212
Nov-05,11259
Dec-05,13484
Jan-06,6151
Feb-06,8966
Mar-06,10763
Apr-06,17876
May-06,21965
Jun-06,26410
Jul-06,34501
Aug-06,37128
Sep-06,34544
Oct-06,16697
Nov-06,10891
Dec-06,13562
Jan-07,6150
Feb-07,8483
Mar-07,12312
Apr-07,14219
May-07,21621
Jun-07,30192
Jul-07,32594
Aug-07,36595
Sep-07,32103
Oct-07,16353
Nov-07,10967
Dec-07,13778
Jan-08,5857
Feb-08,9100
Mar-08,12653
Apr-08,14250
May-08,25760
Jun-08,24050
Jul-08,28608
Aug-08,43074
Sep-08,28427
Oct-08,18076
Nov-08,12887
Dec-08,13052
Jan-09,6679
Feb-09,9818
Mar-09,10311
Apr-09,15623
May-09,25939
